plant_id,height,unit
1,16.9,cm
2,20.9,cm
3,15.8,cm
4,28,cm
5,21.6,cm
6,15.9,cm
7,22.4,cm
8,23.7,cm
9,22.9,cm
10,18.5,cm
11,27.6,cm
12,21.9,cm
13,16.9,cm
14,8.9,cm
15,25.6,cm
16,19.8,cm
17,19.9,cm
18,24.7,cm
19,24.1,cm
20,23,cm
21,24.6,cm
22,23.9,cm
23,20.4,cm
24,10.1,cm
25,23.1,cm
26,19.7,cm
27,19.2,cm
28,12.6,cm
29,17.6,cm
30,22.1,cm
31,26.8,cm
32,19.5,cm
33,21.9,cm
34,19.7,cm
35,13.1,cm
36,17.9,cm
37,18,cm
38,19.7,cm
39,25.5,cm
40,23.8,cm
41,19.2,cm
42,18.7,cm
43,23.5,cm
44,22.8,cm
45,16.6,cm
46,16.5,cm
47,21.8,cm
48,23.8,cm
49,19.4,cm
50,24.4,cm
51,22,cm
52,16.9,cm
53,21.7,cm
54,14.4,cm
55,27.2,cm
56,29.9,cm
57,18.2,cm
58,14.8,cm
59,22.8,cm
60,19.3,cm
61,32,cm
62,19.8,cm
63,23.4,cm
64,20.1,cm
65,16.3,cm
66,20.9,cm
67,11,cm
68,27.3,cm
69,20.8,cm
70,30.9,cm
71,22.4,cm
72,16.5,cm
73,23.1,cm
74,15.3,cm
75,13.7,cm
76,21.5,cm
77,17.8,cm
78,20,cm
79,20.4,cm
80,17.1,cm
81,17.2,cm
82,19.3,cm
83,25.9,cm
84,12.4,cm
85,23,cm
86,21.7,cm
87,25.3,cm
88,18.5,cm
89,21.9,cm
90,21.3,cm
91,17.3,cm
92,26,cm
93,25.8,cm
94,23.5,cm
95,27.9,cm
96,22.8,cm
97,13.6,cm
98,17.1,cm
99,13.9,cm
100,17.6,cm
101,16.9,cm
102,20.2,cm
103,15.4,cm
104,20.8,cm
105,16.7,cm
106,28.8,cm
107,23.6,cm
108,24.6,cm
109,21.9,cm
110,28.4,cm
111,16.8,cm
112,17.7,cm
113,27.2,cm
114,16.7,cm
115,19,cm
116,18,cm
117,18.4,cm
118,18.6,cm
119,22.5,cm
120,19.1,cm
121,17.5,cm
122,26.7,cm
123,18.9,cm
124,19.1,cm
125,19.5,cm
126,23.6,cm
127,19.6,cm
128,19.8,cm
129,16.6,cm
130,18.4,cm
131,20.3,cm
132,17.1,cm
133,22.7,cm
134,12.4,cm
135,21.5,cm
136,12.3,cm
137,18.5,cm
138,17.4,cm
139,16.7,cm
140,19.7,cm
141,10.4,cm
142,25.9,cm
143,11.7,cm
144,17.7,cm
145,14.4,cm
146,16.2,cm
147,30.4,cm
148,20.1,cm
149,13.6,cm
150,11.8,cm
151,22.3,cm
152,19.9,cm
153,18.4,cm
154,15.4,cm
155,12.6,cm
156,14.6,cm
157,25,cm
158,16.9,cm
159,13.1,cm
160,29.3,cm
161,22.1,cm
162,18.8,cm
163,25.3,cm
164,24.4,cm
165,16.9,cm
166,31,cm
167,18.7,cm
168,12.9,cm
169,19.3,cm
170,21,cm
171,31.5,cm
172,20.5,cm
173,22.3,cm
174,19.6,cm
175,18.3,cm
176,19.8,cm
177,23.9,cm
178,30.4,cm
179,25.1,cm
180,26,cm
181,13.8,cm
182,24.9,cm
183,21.1,cm
184,12.7,cm
185,22.6,cm
186,19.2,cm
187,27.3,cm
188,16.2,cm
189,17.8,cm
190,15.4,cm
191,19.1,cm
192,22,cm
193,16.3,cm
194,24.2,cm
195,14,cm
196,14.8,cm
197,27.2,cm
198,14.9,cm
199,22.1,cm
200,18.1,cm
201,22,cm
202,28.4,cm
203,27.9,cm
204,18.3,cm
205,8.6,cm
206,32.5,cm
207,23.3,cm
208,22.7,cm
209,19.9,cm
210,22.6,cm
211,19.2,cm
212,22.1,cm
213,18,cm
214,13.1,cm
215,24.9,cm
216,27.6,cm
217,18.5,cm
218,13.7,cm
219,23.2,cm
220,19.8,cm
221,11.3,cm
222,20,cm
223,16.8,cm
224,18.3,cm
225,14.2,cm
226,29,cm
227,18.3,cm
228,12,cm
229,21,cm
230,21.3,cm
231,15.1,cm
232,5.6,cm
233,16.8,cm
234,22.9,cm
235,19.7,cm
236,19.5,cm
237,22.8,cm
238,14.1,cm
239,25.5,cm
240,20,cm
241,23.5,cm
242,25.2,cm
243,21.1,cm
244,15.6,cm
245,25.8,cm
246,10,cm
247,17.3,cm
248,18.7,cm
249,19.2,cm
250,25.1,cm
251,20.7,cm
252,22,cm
253,19.7,cm
254,18.8,cm
255,23.5,cm
256,25.7,cm
257,8,cm
258,22.9,cm
259,21.9,cm
260,17.9,cm
261,24.8,cm
262,18.1,cm
263,18.6,cm
264,24.3,cm
265,28.6,cm
266,21.4,cm
267,17.9,cm
268,14.1,cm
269,18.3,cm
270,15.3,cm
271,18.7,cm
272,22,cm
273,15.7,cm
274,33.2,cm
275,20.8,cm
276,25.7,cm
277,8.6,cm
278,23.7,cm
279,13.4,cm
280,24.6,cm
281,22,cm
282,18,cm
283,26.6,cm
284,16.5,cm
285,17.1,cm
286,15,cm
287,16.7,cm
288,24.7,cm
289,22.2,cm
290,25,cm
291,18,cm
292,21.9,cm
293,21.2,cm
294,12.9,cm
295,28.9,cm
296,20.7,cm
297,23.8,cm
298,24.8,cm
299,19.7,cm
300,18.5,cm
301,24.5,cm
302,14.8,cm
303,29.9,cm
304,18.1,cm
305,28.3,cm
306,27.6,cm
307,20.4,cm
308,22.8,cm
309,14.9,cm
310,21.6,cm
311,25.2,cm
312,20.5,cm
313,17.7,cm
314,16.7,cm
315,19.8,cm
316,25.3,cm
317,17.6,cm
318,19.4,cm
319,13.5,cm
320,22.5,cm
321,26.5,cm
322,27.5,cm
323,24.1,cm
324,10.7,cm
325,22.4,cm
326,22.3,cm
327,18.2,cm
328,20.9,cm
329,15.7,cm
330,23.4,cm
331,18.4,cm
332,12.2,cm
333,18.2,cm
334,26.8,cm
335,18.3,cm
336,23.7,cm
337,24.7,cm
338,20,cm
339,18.2,cm
340,17.4,cm
341,23.7,cm
342,14.7,cm
343,21.2,cm
344,18.6,cm
345,8.7,cm
346,13,cm
347,24.6,cm
348,19,cm
349,24,cm
350,29.4,cm
351,27.4,cm
352,23.4,cm
353,21.9,cm
354,19,cm
355,27.9,cm
356,23,cm
357,14.1,cm
358,19.2,cm
359,10.4,cm
360,19,cm
361,7,cm
362,26.6,cm
363,16.8,cm
364,17.9,cm
365,19.2,cm
366,23.1,cm
367,23.4,cm
368,22.8,cm
369,17.1,cm
370,13.2,cm
371,18.1,cm
372,21.4,cm
373,15.9,cm
374,19.7,cm
375,14.2,cm
376,20,cm
377,20.6,cm
378,19.3,cm
379,19.2,cm
380,28.8,cm
381,23.8,cm
382,25.6,cm
383,15.4,cm
384,20.8,cm
385,25.8,cm
386,19.7,cm
387,9.4,cm
388,21.7,cm
389,10.5,cm
390,15.9,cm
391,26.6,cm
392,23.1,cm
393,25.5,cm
394,21.5,cm
395,19.4,cm
396,15.4,cm
397,28,cm
398,20.2,cm
399,16.4,cm
400,24.3,cm
401,25.4,cm
402,29.5,cm
403,17,cm
404,18,cm
405,17.9,cm
406,18.1,cm
407,18.2,cm
408,18.5,cm
409,27.2,cm
410,16.5,cm
411,18.1,cm
412,23.3,cm
413,25.6,cm
414,16.1,cm
415,17.5,cm
416,22.6,cm
417,25.1,cm
418,18.7,cm
419,12.9,cm
420,28.5,cm
421,27.2,cm
422,16.4,cm
423,19.7,cm
424,11.2,cm
425,22.8,cm
426,28.1,cm
427,11.8,cm
428,16.1,cm
429,16.8,cm
430,16.6,cm
431,9.8,cm
432,22.5,cm
433,12.3,cm
434,19.9,cm
435,23,cm
436,19,cm
437,24.5,cm
438,19.9,cm
439,16.8,cm
440,23.2,cm
441,17.8,cm
442,28.9,cm
443,19.9,cm
444,24.3,cm
445,21,cm
446,5,cm
447,13.2,cm
448,17.9,cm
449,21.2,cm
450,8.3,cm
451,24.8,cm
452,17,cm
453,16.2,cm
454,12.2,cm
455,12.7,cm
456,20.3,cm
457,22.5,cm
458,9.5,cm
459,15,cm
460,22.7,cm
461,17.7,cm
462,30.8,cm
463,26.2,cm
464,23,cm
465,20,cm
466,21.4,cm
467,16.5,cm
468,23.1,cm
469,27.4,cm
470,25.4,cm
471,15.9,cm
472,11.9,cm
473,19.5,cm
474,22.2,cm
475,26.8,cm
476,13.4,cm
477,21.8,cm
478,21.2,cm
479,26,cm
480,19.9,cm
481,18.2,cm
482,14.3,cm
483,17.4,cm
484,18.2,cm
485,31.8,cm
486,32.2,cm
487,19.2,cm
488,14.8,cm
489,10.1,cm
490,22.6,cm
491,14.5,cm
492,31.4,cm
493,15.6,cm
494,20.6,cm
